id = 84
editor = KK



### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2014
reference =  private communication
reference2 = from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p
in2polarizationvector = L
in2polarization = +1

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LL}


y1name = BTSA
y1namelong = Double Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is given to us



### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 BTSA (DSA)
#
# Q2        xB       -t       phi    BTSA      stat_err_BTSA
###########################################################
 1.9433   0.2579   0.4573   235.8380   0.4410   0.0990
 1.9433   0.2579   0.4573   269.8610   0.4984   0.0668
 1.9433   0.2579   0.4573   308.0970   0.4094   0.0867
 1.9433   0.2579   0.4573   340.6940   0.3422   0.1612
 1.5535   0.1811   0.1287   19.2325   0.5816   0.3258
 1.5535   0.1811   0.1287   52.1529   0.3451   0.1613
 1.5535   0.1811   0.1287   89.1628   0.5766   0.0827
 1.5535   0.1811   0.1287   125.9660   0.5583   0.0716
 1.5535   0.1811   0.1287   161.8830   0.4576   0.0701
 1.5535   0.1811   0.1287   198.8630   0.5068   0.0670
 1.5535   0.1811   0.1287   235.8380   0.5136   0.0753
 1.5535   0.1811   0.1287   269.8610   0.4362   0.0883
 1.5535   0.1811   0.1287   308.0970   0.4628   0.1355
 2.4579   0.2655   0.4431   19.2325   0.0107   0.3106
 2.4579   0.2655   0.4431   52.1529   0.5387   0.0803
 2.4579   0.2655   0.4431   89.1628   0.5888   0.0947
 2.4579   0.2655   0.4431   125.9660   0.6889   0.1310
 2.4579   0.2655   0.4431   161.8830   0.5910   0.1803
 2.4579   0.2655   0.4431   198.8630   0.5932   0.1601
 2.4579   0.2655   0.4431   235.8380   0.7056   0.1265
 2.4579   0.2655   0.4431   269.8610   0.5976   0.0988
 2.4579   0.2655   0.4431   308.0970   0.4325   0.0894
 2.4579   0.2655   0.4431   340.6940   0.5888   0.2721
