id = 99
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled

### Experiment E145M2

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M2, restricted kinematics

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity Independent Cross Section
0.214   1.64    0.34    262.94  -0.0517 0.0145  0.0111
0.214   1.64    0.34    278.03  -0.035  0.0173  0.0079
0.214   1.64    0.34    293.13  -0.1398 0.0274  0.0237
0.214   1.64    0.34    308.26  -0.0996 0.0338  0.0179
0.214   1.64    0.34    322.03  -0.1253 0.041   0.0122
0.214   1.64    0.34    332.38  0   0   0
0.214   1.64    0.34    352.5   0   0   0
0.215   1.88    0.11    7.84    0   0   0
0.215   1.88    0.11    23.16   0.0481  0.2377  0.1028
0.215   1.88    0.11    37.96   0.5076  0.1717  0.0902
0.215   1.88    0.11    52.73   0.3008  0.1238  0.0605
0.215   1.88    0.11    67.28   0.302   0.1066  0.0647
0.215   1.88    0.11    82.17   0.0982  0.0797  0.0239
0.215   1.88    0.11    97.2    0.1937  0.0682  0.0211
0.215   1.88    0.11    112.25  0.1082  0.0767  0.0184
0.215   1.88    0.11    127.3   0.0843  0.068   0.0234
0.215   1.88    0.11    142.35  -0.0078 0.0627  0.0393
0.215   1.88    0.11    157.41  0.1598  0.0535  0.0129
0.215   1.88    0.11    172.47  -0.0783 0.0613  0.0422
0.215   1.88    0.11    187.53  0   0   0
0.215   1.88    0.11    202.59  -0.0637 0.0529  0.0211
0.215   1.88    0.11    217.65  0.0391  0.0592  0.0174
0.215   1.88    0.11    232.7   -0.0989 0.0664  0.0139
0.215   1.88    0.11    247.75  -0.1253 0.0617  0.0278
0.215   1.88    0.11    262.8   -0.1984 0.0702  0.0229
0.215   1.88    0.11    277.83  -0.2933 0.0898  0.0559
0.215   1.88    0.11    292.72  -0.286  0.1101  0.0564
0.215   1.88    0.11    307.27  -0.2495 0.1263  0.0874
0.215   1.88    0.11    322.04  -0.2415 0.1642  0.0614
0.215   1.88    0.11    336.84  0.1109  0.2454  0.0729
0.215   1.88    0.11    352.16  0   0   0
0.215   1.88    0.15    8.28    0   0   0
0.215   1.88    0.15    24.86   0   0   0
0.215   1.88    0.15    38.98   0.4769  0.1549  0.0634
0.215   1.88    0.15    52.95   0.2021  0.0988  0.0305
0.215   1.88    0.15    67.13   0.2621  0.0795  0.0425
0.215   1.88    0.15    82.11   0.1151  0.0603  0.015
0.215   1.88    0.15    97.16   0.1474  0.0439  0.022
0.215   1.88    0.15    112.22  0.132   0.0474  0.0277
0.215   1.88    0.15    127.28  0.001   0.0451  0.0137
0.215   1.88    0.15    142.34  -0.0202 0.0379  0.0132
0.215   1.88    0.15    157.4   0.0461  0.0362  0.0093
0.215   1.88    0.15    172.47  -0.0054 0.0407  0.0057
0.215   1.88    0.15    187.53  -0.0074 0.0393  0.0194
0.215   1.88    0.15    202.6   -0.0481 0.0316  0.008
0.215   1.88    0.15    217.66  0.0132  0.0371  0.0138
0.215   1.88    0.15    232.72  -0.0499 0.0511  0.0274
0.215   1.88    0.15    247.78  -0.0546 0.0473  0.0243
0.215   1.88    0.15    262.84  -0.0987 0.0463  0.011
0.215   1.88    0.15    277.89  -0.1522 0.0592  0.0267
0.215   1.88    0.15    292.87  -0.3247 0.0805  0.0391
0.215   1.88    0.15    307.05  -0.1062 0.1063  0.0722
0.215   1.88    0.15    321.02  -0.3477 0.1312  0.0409
0.215   1.88    0.15    335.14  0   0   0
0.215   1.88    0.15    351.72  0   0   0
0.215   1.88    0.2 7.5 0   0   0
0.215   1.88    0.2 28.48   0   0   0
0.215   1.88    0.2 40.38   0   0   0
0.215   1.88    0.2 53.14   0.2573  0.079   0.0361
0.215   1.88    0.2 66.99   0.0387  0.0565  0.0211
0.215   1.88    0.2 82.06   0.1369  0.0488  0.0113
0.215   1.88    0.2 97.14   0.0218  0.0366  0.0142
0.215   1.88    0.2 112.2   0.01    0.0347  0.0077
0.215   1.88    0.2 127.27  0.0634  0.0367  0.0127
0.215   1.88    0.2 142.33  0.0328  0.0304  0.0143
0.215   1.88    0.2 157.4   0.0639  0.0254  0.0109
0.215   1.88    0.2 172.47  -0.0307 0.032   0.0108
0.215   1.88    0.2 187.53  -0.0813 0.0326  0.0191
0.215   1.88    0.2 202.6   -0.0242 0.0246  0.0069
0.215   1.88    0.2 217.67  -0.0197 0.0275  0.0125
0.215   1.88    0.2 232.73  -0.0106 0.0391  0.0092
0.215   1.88    0.2 247.8   -0.0691 0.0377  0.0082
0.215   1.88    0.2 262.86  -0.1147 0.0404  0.0148
0.215   1.88    0.2 277.94  -0.0657 0.0486  0.0128
0.215   1.88    0.2 293.01  -0.1703 0.061   0.024
0.215   1.88    0.2 306.86  -0.0919 0.075   0.0444
0.215   1.88    0.2 319.62  0   0   0
0.215   1.88    0.2 331.52  0   0   0
0.215   1.88    0.2 352.5   0   0   0
0.215   1.88    0.26    7.5 0   0   0
0.215   1.88    0.26    22.5    0   0   0
0.215   1.88    0.26    41.86   0   0   0
0.215   1.88    0.26    53.05   0.1637  0.0494  0.0189
0.215   1.88    0.26    66.93   0.0663  0.0386  0.0126
0.215   1.88    0.26    82.03   0.0797  0.0322  0.01
0.215   1.88    0.26    97.12   0.0594  0.026   0.0111
0.215   1.88    0.26    112.19  0.0308  0.0208  0.0066
0.215   1.88    0.26    127.26  0.0518  0.0237  0.0059
0.215   1.88    0.26    142.33  -0.0065 0.0213  0.0079
0.215   1.88    0.26    157.4   0.0149  0.0153  0.0038
0.215   1.88    0.26    172.47  0.0096  0.0218  0.005
0.215   1.88    0.26    187.53  -0.0229 0.0212  0.0064
0.215   1.88    0.26    202.6   -0.0129 0.0199  0.0072
0.215   1.88    0.26    217.67  -0.0187 0.0197  0.0116
0.215   1.88    0.26    232.74  0.0144  0.0245  0.0062
0.215   1.88    0.26    247.81  -0.0549 0.0275  0.0152
0.215   1.88    0.26    262.88  -0.0579 0.0236  0.009
0.215   1.88    0.26    277.97  -0.0444 0.0306  0.006
0.215   1.88    0.26    293.07  -0.0944 0.0404  0.0314
0.215   1.88    0.26    306.95  -0.1222 0.0553  0.0204
0.215   1.88    0.26    318.14  0   0   0
0.215   1.88    0.26    337.5   0   0   0
0.215   1.88    0.26    352.5   0   0   0
0.215   1.88    0.34    7.5 0   0   0
0.215   1.88    0.34    22.5    0   0   0
0.215   1.88    0.34    42.37   0   0   0
0.215   1.88    0.34    52.72   0.085   0.03    0.0095
0.215   1.88    0.34    66.9    0.0346  0.0265  0.0047
0.215   1.88    0.34    82.01   0.0188  0.0224  0.0107
0.215   1.88    0.34    97.1    0.0129  0.017   0.0097
0.215   1.88    0.34    112.18  0.0268  0.0152  0.0057
