id = 104
0.214   1.64    0.2       8.26    -0.0683512  0.0992026   0.0590119
0.214   1.64    0.2      23.48   0.106653    0.0644092   0.0351047
0.214   1.64    0.2      37.27   0.171648    0.0592279   0.0176123
0.214   1.64    0.2      51.94   0.122739    0.0711049   0.0210198
0.214   1.64    0.2      66.99   -0.0352915  0.109866    0.0361542
0.214   1.64    0.2      82.05   0.266573    0.127066    0.0731152
0.214   1.64    0.2      97.12   0.0537849   0.128012    0.0533171
0.214   1.64    0.2     112.18  0.332732    0.137829    0.0774542
0.214   1.64    0.2     127.25  0.123545    0.190481    0.0450511
0.214   1.64    0.2     142.32  0.0519054   0.197286    0.125389
0.214   1.64    0.2     157.39  0.000801282 0.177885    0.0953526
0.214   1.64    0.2     172.46  0.0710195   0.177273    0.0603076
0.214   1.64    0.2     187.54  0.139776    0.249217    0.0860821
0.214   1.64    0.2     202.61  0.0245566   0.17466 0.0528372
0.214   1.64    0.2     217.68  -0.23228    0.192075    0.0836181
0.214   1.64    0.2     232.75  -0.0347288  0.175142    0.096167
0.214   1.64    0.2     247.82  -0.0510526  0.167514    0.0585973
0.214   1.64    0.2     262.88  -0.296197   0.139   0.0782553
0.214   1.64    0.2     277.95  -0.311457   0.1118  0.05191
0.214   1.64    0.2     293.01  -0.164323   0.103423    0.0500677
0.214   1.64    0.2     308.06  -0.165511   0.0863252   0.0485136
0.214   1.64    0.2     322.73  -0.204292   0.0609619   0.0347621
0.214   1.64    0.2     336.52  -0.0301906  0.0587441   0.0198962
0.214   1.64    0.2     351.74  -0.101241   0.0734616   0.0323185
0.214   1.64    0.26     10.82   0   0   0
0.214   1.64    0.26     25.19   0.148791    0.0857778   0.0389907
0.214   1.64    0.26     37.58   0.167007    0.0591992   0.0178795
0.214   1.64    0.26     51.84   0.237523    0.0707194   0.0315612
0.214   1.64    0.26     66.93   0.142337    0.102964    0.0273667
0.214   1.64    0.26     82.01   0.381835    0.135396    0.0695712
0.214   1.64    0.26     97.09   0.271057    0.119756    0.0671103
0.214   1.64    0.26     112.16  0.278293    0.131919    0.0936555
0.214   1.64    0.26     127.24  0.332694    0.199687    0.0968408
0.214   1.64    0.26     142.31  0.408931    0.251375    0.115272
0.214   1.64    0.26     157.39  0.0578106   0.225341    0.0433455
0.214   1.64    0.26     172.46  0.115646    0.245983    0.0703207
0.214   1.64    0.26     187.54  -0.00297619 0.276787    0.0793679
0.214   1.64    0.26     202.61  -0.317109   0.259029    0.158716
0.214   1.64    0.26     217.69  -0.186644   0.179296    0.0771181
0.214   1.64    0.26     232.76  0.0819113   0.212084    0.0428717
0.214   1.64    0.26     247.84  -0.195419   0.167455    0.111255
0.214   1.64    0.26     262.91  -0.240826   0.123911    0.0499457
0.214   1.64    0.26     277.99  -0.521802   0.119714    0.0783398
0.214   1.64    0.26     293.07  -0.181405   0.107778    0.0628794
0.214   1.64    0.26    308.16  -0.11065    0.0898394   0.0184934
0.214   1.64    0.26    322.42  -0.164759   0.0632017   0.0339115
0.214   1.64    0.26    334.81  -0.173139   0.0794076   0.0406618
0.214   1.64    0.26    349.18  0   0   0
0.214   1.64    0.34    7.5 0   0   0
0.214   1.64    0.34    27.62   0   0   0
0.214   1.64    0.34    37.97   0.21486 0.0674425   0.025255
0.214   1.64    0.34    51.74   0.0543728   0.0745847   0.0235859
0.214   1.64    0.34    66.87   0.26561 0.114037    0.0668926
0.214   1.64    0.34    81.97   0.422569    0.141023    0.0672488
0.214   1.64    0.34    97.06   0.260762    0.135481    0.0400363
0.214   1.64    0.34    112.15  0.0430108   0.147403    0.0656782
0.214   1.64    0.34    127.23  0.368499    0.249749    0.121746
0.214   1.64    0.34    142.31  0.220486    0.324564    0.104501
0.214   1.64    0.34    157.38  0.224265    0.302825    0.24773
0.214   1.64    0.34    172.46  -0.00391134 0.375491    0.182545
0.214   1.64    0.34    187.54  0   0   0
0.214   1.64    0.34    202.62  -0.507911   0.394041    0.113371
0.214   1.64    0.34    217.69  -0.232662   0.235782    0.0929077
0.214   1.64    0.34    232.77  -0.359551   0.261071    0.14859
0.214   1.64    0.34    247.85  -0.121795   0.206146    0.0830204
0.214   1.64    0.34    262.94  -0.490047   0.147967    0.119725
0.214   1.64    0.34    278.03  -0.222646   0.111874    0.0526986
0.214   1.64    0.34    293.13  -0.534813   0.114401    0.112435
0.214   1.64    0.34    308.26  -0.2759 0.0959923   0.0547579
0.214   1.64    0.34    322.03  -0.213495   0.0709135   0.0251465
0.214   1.64    0.34    332.38  0   0   0
0.214   1.64    0.34    352.5   0   0   0
0.215   1.88    0.11    7.84    0   0   0
0.215   1.88    0.11    23.16   0.0144107   0.0712196   0.0308536
0.215   1.88    0.11    37.96   0.186934    0.0639695   0.0395161
0.215   1.88    0.11    52.73   0.192168    0.0800621   0.042137
0.215   1.88    0.11    67.28   0.264032    0.0953568   0.0596489
0.215   1.88    0.11    82.17   0.11004 0.0896698   0.0287731
0.215   1.88    0.11    97.2    0.241762    0.0867775   0.0395534
0.215   1.88    0.11    112.25  0.142088    0.101402    0.0357901
0.215   1.88    0.11    127.3   0.181212    0.147781    0.0567587
0.215   1.88    0.11    142.35  -0.0159477  0.128206    0.0803715
0.215   1.88    0.11    157.41  0.405996    0.143237    0.0558152
0.215   1.88    0.11    172.47  -0.214815   0.170738    0.121176
0.215   1.88    0.11    187.53  0   0   0
0.215   1.88    0.11    202.59  -0.132543   0.11072 0.0447871
0.215   1.88    0.11    217.65  0.0772727   0.11723 0.03495
0.215   1.88    0.11    232.7   -0.190632   0.129534    0.0292298
0.215   1.88    0.11    247.75  -0.212553   0.106243    0.0489029
0.215   1.88    0.11    262.8   -0.241657   0.0871701   0.0325348
0.215   1.88    0.11    277.83  -0.297646   0.0937887   0.0654543
0.215   1.88    0.11    292.72  -0.22632    0.0886101   0.0479317
0.215   1.88    0.11    307.27  -0.139752   0.0712068   0.0502293
0.215   1.88    0.11    322.04  -0.0896337  0.061108    0.0245394
0.215   1.88    0.11    336.84  0.0302774   0.0670185   0.0201412
0.215   1.88    0.11    352.16  0   0   0
0.215   1.88    0.15    8.28    0   0   0
0.215   1.88    0.15    24.86   0   0   0
0.215   1.88    0.15    38.98   0.203925    0.0671571   0.0409656
0.215   1.88    0.15    52.95   0.135229    0.0665141   0.0242716
0.215   1.88    0.15    67.13   0.263682    0.0818286   0.0471812
0.215   1.88    0.15    82.11   0.165374    0.0874358   0.0256325
0.215   1.88    0.15    97.16   0.317126    0.0975565   0.05165
0.215   1.88    0.15    112.22  0.30137 0.111447    0.0686996
0.215   1.88    0.15    127.28  0.00314663  0.141914    0.0431112
0.215   1.88    0.15    142.34  -0.0738034  0.138726    0.049396
0.215   1.88    0.15    157.4   0.16102 0.127539    0.0348206
0.215   1.88    0.15    172.47  -0.0201718  0.152057    0.0213391
0.215   1.88    0.15    187.53  -0.0268895  0.14284 0.0705276
0.215   1.88    0.15    202.6   -0.195528   0.130082    0.0390509
0.215   1.88    0.15    217.66  0.0421053   0.118412    0.0442485
0.215   1.88    0.15    232.72  -0.11495    0.118237    0.0650366
0.215   1.88    0.15    247.78  -0.13445    0.117173    0.0607972
0.215   1.88    0.15    262.84  -0.199798   0.0949699   0.0263858
0.215   1.88    0.15    277.89  -0.22764    0.0900699   0.0426517
0.215   1.88    0.15    292.87  -0.325351   0.0834901   0.0459077
0.215   1.88    0.15    307.05  -0.0662219  0.0663822   0.0455379
0.215   1.88    0.15    321.02  -0.178491   0.0680663   0.0287784
0.215   1.88    0.15    335.14  0   0   0
0.215   1.88    0.15    351.72  0   0   0
0.215   1.88    0.2 7.5 0   0   0
0.215   1.88    0.2 28.48   0   0   0
0.215   1.88    0.2 40.38   0   0   0
0.215   1.88    0.2 53.14   0.218941    0.068298    0.0358491
0.215   1.88    0.2 66.99   0.0625404   0.0914256   0.0348598
0.215   1.88    0.2 82.06   0.292272    0.107147    0.0402326
0.215   1.88    0.2 97.14   0.0644208   0.108307    0.0425683
0.215   1.88    0.2 112.2   0.0360101   0.125009    0.02785
0.215   1.88    0.2 127.27  0.267398    0.158466    0.0636575
0.215   1.88    0.2 142.33  0.167861    0.15703 0.0745433
0.215   1.88    0.2 157.4   0.366189    0.151962    0.0751378
0.215   1.88    0.2 172.47  -0.153577   0.161341    0.0579553
0.215   1.88    0.2 187.53  -0.433831   0.184537    0.123726
0.215   1.88    0.2 202.6   -0.173104   0.177717    0.0518766
0.215   1.88    0.2 217.67  -0.11055    0.154951    0.0712784
0.215   1.88    0.2 232.73  -0.040381   0.149035    0.0354635
0.215   1.88    0.2 247.8   -0.259872   0.144984    0.0420172
0.215   1.88    0.2 262.86  -0.295619   0.107152    0.0510345
0.215   1.88    0.2 277.94  -0.122096   0.0907704   0.0255336
0.215   1.88    0.2 293.01  -0.251254   0.0918858   0.0431444
0.215   1.88    0.2 306.86  -0.097393   0.0797359   0.047683
0.215   1.88    0.2 319.62  0   0   0
0.215   1.88    0.2 331.52  0   0   0
0.215   1.88    0.2 352.5   0   0   0
0.215   1.88    0.26    7.5 0   0   0
0.215   1.88    0.26    22.5    0   0   0
0.215   1.88    0.26    41.86   0   0   0
0.215   1.88    0.26    53.05   0.219938    0.0674362   0.0290714
0.215   1.88    0.26    66.93   0.150648    0.0883718   0.0324299
0.215   1.88    0.26    82.03   0.253983    0.104814    0.0357431
0.215   1.88    0.26    97.12   0.225684    0.100474    0.0453669
0.215   1.88    0.26    112.19  0.196805    0.134616    0.0442671
0.215   1.88    0.26    127.26  0.333333    0.158085    0.0620829
0.215   1.88    0.26    142.33  -0.0482196  0.158137    0.0593444
0.215   1.88    0.26    157.4   0.157339    0.162892    0.0464645
0.215   1.88    0.26    172.47  0.072018    0.163827    0.0423772
0.215   1.88    0.26    187.53  -0.223851   0.210702    0.0889551
0.215   1.88    0.26    202.6   -0.0947832  0.146661    0.0536597
0.215   1.88    0.26    217.67  -0.139552   0.14798 0.0932167
0.215   1.88    0.26    232.74  0.0962567   0.16428 0.0467438
0.215   1.88    0.26    247.81  -0.29437    0.15167 0.085954
0.215   1.88    0.26    262.88  -0.27519    0.114973    0.0502772
0.215   1.88    0.26    277.97  -0.12788    0.0886172   0.0226373
0.215   1.88    0.26    293.07  -0.205262   0.0890862   0.0711559
0.215   1.88    0.26    306.95  -0.162608   0.074239    0.0288465
0.215   1.88    0.26    318.14  0   0   0
0.215   1.88    0.26    337.5   0   0   0
0.215   1.88    0.26    352.5   0   0   0
0.215   1.88    0.34    7.5 0   0   0
0.215   1.88    0.34    22.5    0   0   0
0.215   1.88    0.34    42.37   0   0   0
0.215   1.88    0.34    52.72   0.201231    0.0719831   0.0257683
0.215   1.88    0.34    66.9    0.126508    0.0974107   0.0238327
0.215   1.88    0.34    82.01   0.0989474   0.118284    0.0576192
0.215   1.88    0.34    97.1    0.0868687   0.114771    0.0660814
0.215   1.88    0.34    112.18  0.240791    0.13922 0.0589557
0.215   1.88    0.34    127.25  0.390791    0.184701    0.0760039
0.215   1.88    0.34    142.32  0.316199    0.199573    0.0675545
0.215   1.88    0.34    157.4   -0.108508   0.154734    0.0343261
0.215   1.88    0.34    172.46  0.136671    0.187905    0.0821387
0.215   1.88    0.34    187.54  -0.0203704  0.235218    0.0944648
0.215   1.88    0.34    202.6   -0.43007    0.218557    0.160452
0.215   1.88    0.34    217.68  0.128983    0.181572    0.0713296
0.215   1.88    0.34    232.75  0.137224    0.203168    0.0615248
0.215   1.88    0.34    247.82  -0.164654   0.180532    0.0458473
0.215   1.88    0.34    262.9   -0.207783   0.122884    0.0467188
0.215   1.88    0.34    277.99  -0.108333   0.103006    0.0171199
0.215   1.88    0.34    293.1   -0.19802    0.0949687   0.0353991
0.215   1.88    0.34    307.28  -0.221262   0.0812609   0.0280639
0.215   1.88    0.34    317.63  0   0   0
0.215   1.88    0.34    337.5   0   0   0
0.215   1.88    0.34    352.5   0   0   0
0.215   1.88    0.45    7.5 0   0   0
0.215   1.88    0.45    22.5    0   0   0
0.215   1.88    0.45    42.22   0   0   0
0.215   1.88    0.45    51.98   -0.00961908 0.0700291   0.0338735
0.215   1.88    0.45    66.87   0.168963    0.100409    0.0386056
0.215   1.88    0.45    81.99   0.374753    0.139313    0.1204
0.215   1.88    0.45    97.08   0.020595    0.12702 0.0446487
0.215   1.88    0.45    112.17  0.133913    0.148722    0.0667191
0.215   1.88    0.45    127.24  -0.08   0.234344    0.10495
0.215   1.88    0.45    142.32  -0.164557   0.219722    0.0372735
0.215   1.88    0.45    157.4   0.297872    0.186213    0.103199
0.215   1.88    0.45    172.46  -0.169271   0.218214    0.139126
0.215   1.88    0.45    187.54  0.322034    0.262767    0.120611
0.215   1.88    0.45    202.6   -0.266667   0.21041 0.0985603
0.215   1.88    0.45    217.68  -0.277108   0.197744    0.132155
0.215   1.88    0.45    232.76  -0.276923   0.202731    0.09227
0.215   1.88    0.45    247.83  -0.4297 0.185918    0.155694
0.215   1.88    0.45    262.92  -0.421687   0.14726 0.0633279
0.215   1.88    0.45    278.01  -0.496572   0.124648    0.058586
0.215   1.88    0.45    293.13  -0.0347513  0.103098    0.0194094
0.215   1.88    0.45    308.02  -0.328262   0.0874471   0.0407483
0.215   1.88    0.45    317.78  -0.0652482  0.130113    0.0262366
0.215   1.88    0.45    337.5   0   0   0
0.215   1.88    0.45    352.5   0   0   0
0.244   1.79    0.11    7.44    -0.0128955  0.0952589   0.0276511
0.244   1.79    0.11    22.34   0.0218522   0.0882034   0.0138735
0.244   1.79    0.11    37.27   0.13893 0.0837465   0.029113
0.244   1.79    0.11    52.23   0.241754    0.100275    0.0359472
0.244   1.79    0.11    67.21   0.303393    0.131518    0.0927339
0.244   1.79    0.11    82.21   0.044093    0.141957    0.0298138
0.244   1.79    0.11    97.22   0.284901    0.126083    0.061223
0.244   1.79    0.11    112.25  0.345603    0.175898    0.104004
0.244   1.79    0.11    127.28  0.516198    0.282163    0.132635
0.244   1.79    0.11    142.33  -0.716855   0.64406 0.298744
0.244   1.79    0.11    157.39  0.498498    0.674608    0.487328
0.244   1.79    0.11    172.46  0   0   0
0.244   1.79    0.11    187.54  0   0   0
0.244   1.79    0.11    202.61  0   0   0
0.244   1.79    0.11    217.67  0   0   0
0.244   1.79    0.11    232.72  0   0   0
0.244   1.79    0.11    247.75  -0.334396   0.171069    0.1498
0.244   1.79    0.11    262.78  -0.287411   0.139383    0.0898178
0.244   1.79    0.11    277.79  -0.0869374  0.126555    0.0411542
0.244   1.79    0.11    292.79  -0.554198   0.17382 0.202512
0.244   1.79    0.11    307.77  -0.168425   0.106309    0.0624804
0.244   1.79    0.11    322.73  -0.169392   0.0831961   0.0402565
0.244   1.79    0.11    337.66  -0.185759   0.0835051   0.0379278
0.244   1.79    0.11    352.56  0.067405    0.0912899   0.0376165
0.244   1.79    0.15    7.42    0.146673    0.0727074   0.0299421
0.244   1.79    0.15    22.25   0.097091    0.0699379   0.0225089
0.244   1.79    0.15    37.15   0.144943    0.0673357   0.0396754
0.244   1.79    0.15    52.12   0.132955    0.0832519   0.0274899
0.244   1.79    0.15    67.12   -0.0128894  0.122456    0.0199144
0.244   1.79    0.15    82.14   0.321075    0.144751    0.100727
0.244   1.79    0.15    97.17   0.27911 0.128364    0.0766467
0.244   1.79    0.15    112.21  0.20132 0.136028    0.0757188
0.244   1.79    0.15    127.27  0.332264    0.18329 0.136758
0.244   1.79    0.15    142.32  -0.169975   0.251781    0.112921
0.244   1.79    0.15    157.39  0.345304    0.346193    0.184337
0.244   1.79    0.15    172.46  0.00908501  0.390666    0.143425
0.244   1.79    0.15    187.54  0.135113    0.565492    0.205975
0.244   1.79    0.15    202.61  -0.484054   0.370634    0.424167
0.244   1.79    0.15    217.68  -0.216931   0.23509 0.031464
0.244   1.79    0.15    232.73  -0.262951   0.238458    0.11615
0.244   1.79    0.15    247.79  -0.369017   0.150582    0.106971
0.244   1.79    0.15    262.83  -0.350065   0.126624    0.053432
0.244   1.79    0.15    277.86  -0.380767   0.115607    0.0768921
0.244   1.79    0.15    292.88  -0.539709   0.140222    0.0711409
0.244   1.79    0.15    307.88  -0.212199   0.0932988   0.0276876
0.244   1.79    0.15    322.85  -0.172  0.0721529   0.031209
0.244   1.79    0.15    337.75  -0.0722079  0.0626442   0.0147923
0.244   1.79    0.15    352.58  0.0736601   0.0669029   0.0295471
0.244   1.79    0.2 7.52    0.0181282   0.0733946   0.0426165
