id = 100
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled

### Experiment E145M1

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M1, restricted kinematics

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
0.215   1.88    0.2 232.73  0.2625  0.0322  0.0352
0.215   1.88    0.2 247.8   0.2659  0.031   0.0292
0.215   1.88    0.2 262.86  0.388   0.0332  0.0445
0.215   1.88    0.2 277.94  0.5381  0.0399  0.0409
0.215   1.88    0.2 293.01  0.6778  0.05    0.0665
0.215   1.88    0.2 306.86  0.9436  0.0615  0.0748
0.215   1.88    0.2 319.62  0   0   0
0.215   1.88    0.2 331.52  0   0   0
0.215   1.88    0.2 352.5   0   0   0
0.215   1.88    0.26    7.5 0   0   0
0.215   1.88    0.26    22.5    0   0   0
0.215   1.88    0.26    41.86   0   0   0
0.215   1.88    0.26    53.05   0.7443  0.0404  0.0479
0.215   1.88    0.26    66.93   0.4401  0.0316  0.0445
0.215   1.88    0.26    82.03   0.3138  0.0264  0.02
0.215   1.88    0.26    97.12   0.2632  0.0214  0.0195
0.215   1.88    0.26    112.19  0.1565  0.017   0.0107
0.215   1.88    0.26    127.26  0.1554  0.0194  0.0229
0.215   1.88    0.26    142.33  0.1348  0.0176  0.0261
0.215   1.88    0.26    157.4   0.0947  0.0125  0.0141
0.215   1.88    0.26    172.47  0.1333  0.0179  0.0365
0.215   1.88    0.26    187.53  0.1023  0.0174  0.0289
0.215   1.88    0.26    202.6   0.1361  0.0164  0.0129
0.215   1.88    0.26    217.67  0.134   0.0162  0.0332
0.215   1.88    0.26    232.74  0.1496  0.0201  0.0336
0.215   1.88    0.26    247.81  0.1865  0.0225  0.0173
0.215   1.88    0.26    262.88  0.2104  0.0193  0.0202
