id = 6
editor = KK
editor1 = DM
# Feb. 2010
# modified naming scheme


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2007
reference =  arXiv:0711.4805
inspiretex = Girod:2007aa
reference2 = private table


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.77
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is knonw, 
# according to private communication (DM) the systematic one can be neglected



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2007 ALU
#
# xB     Q2     -t     phi     ALU     stat
############################################
0.2525 2.2131 0.2814 132.9431 0.1291 0.0432
0.2525 2.2131 0.2814 164.3849 0.0315 0.0478
0.2525 2.2131 0.2814 197.3175 -0.0655 0.0418
0.2525 2.2131 0.2814 224.5224 -0.1460 0.0353
0.2525 2.2131 0.2814 257.1179 -0.1833 0.0284
0.2525 2.2131 0.2814 286.2293 -0.2253 0.0215
0.2525 2.2131 0.2814 313.4737 -0.1732 0.0191
0.2525 2.2131 0.2814 340.6567 -0.0630 0.0409
0.3399 1.9930 0.3062 13.8344 0.0954 0.0403
0.3399 1.9930 0.3062 43.8505 0.2365 0.0459
0.3399 1.9930 0.3062 70.8470 0.2843 0.0782
0.3399 1.9930 0.3062 107.4094 -0.0324 0.0963
0.3399 1.9930 0.3062 131.0908 0.0077 0.0817
0.3399 1.9930 0.3062 165.4684 0.3014 0.1775
0.3399 1.9930 0.3062 203.3120 0.0060 0.1287
0.3399 1.9930 0.3062 223.9205 -0.2414 0.1004
0.3399 1.9930 0.3062 253.7220 -0.1986 0.1185
0.3399 1.9930 0.3062 288.5116 -0.2073 0.0956
0.3399 1.9930 0.3062 317.7067 -0.2076 0.0471
0.3399 1.9930 0.3062 344.8102 -0.1064 0.0343
0.3431 2.3060 0.3012 14.1072 0.0208 0.0311
0.3431 2.3060 0.3012 44.2856 0.2178 0.0340
0.3431 2.3060 0.3012 71.9098 0.3054 0.0524
0.3431 2.3060 0.3012 103.3861 0.2827 0.0903
0.3431 2.3060 0.3012 132.1065 0.2567 0.1161
0.3431 2.3060 0.3012 166.4243 0.3053 0.1900
0.3431 2.3060 0.3012 197.5544 0.0899 0.1579
0.3431 2.3060 0.3012 224.6738 0.1064 0.1507
0.3431 2.3060 0.3012 259.6329 -0.2261 0.0937
0.3431 2.3060 0.3012 286.5738 -0.2683 0.0563
0.3431 2.3060 0.3012 318.0622 -0.2020 0.0352
0.3431 2.3060 0.3012 344.6778 -0.0898 0.0287
0.3447 2.6372 0.2966 14.3648 0.0530 0.0259
0.3447 2.6372 0.2966 44.3098 0.1594 0.0280
0.3447 2.6372 0.2966 73.1295 0.1880 0.0401
0.3447 2.6372 0.2966 105.0054 0.2979 0.0540
0.3447 2.6372 0.2966 129.7014 0.2596 0.0916
0.3447 2.6372 0.2966 166.1786 0.1444 0.1802
0.3447 2.6372 0.2966 198.1630 -0.0672 0.1226
0.3447 2.6372 0.2966 226.1817 -0.2532 0.0874
0.3447 2.6372 0.2966 256.9076 -0.3139 0.0500
0.3447 2.6372 0.2966 285.9948 -0.2520 0.0404
0.3447 2.6372 0.2966 317.9151 -0.1723 0.0290
0.3447 2.6372 0.2966 344.3560 -0.0692 0.0243
0.3480 2.9706 0.2942 15.2208 0.0931 0.0264
0.3480 2.9706 0.2942 44.2234 0.1669 0.0247
0.3480 2.9706 0.2942 73.7743 0.1677 0.0349
0.3480 2.9706 0.2942 104.7945 0.2050 0.0447
0.3480 2.9706 0.2942 130.6808 0.1336 0.0694
0.3480 2.9706 0.2942 166.9547 0.0161 0.1182
0.3480 2.9706 0.2942 199.4644 -0.0820 0.0746
0.3480 2.9706 0.2942 226.5008 -0.2143 0.0586
0.3480 2.9706 0.2942 256.9742 -0.1558 0.0422
0.3480 2.9706 0.2942 286.1088 -0.2048 0.0348
0.3480 2.9706 0.2942 316.8855 -0.1942 0.0252
0.3480 2.9706 0.2942 343.2248 -0.0587 0.0252
0.4374 2.6973 0.3461 14.5013 0.1473 0.1096
0.4374 2.6973 0.3461 43.5049 0.0895 0.1417
0.4374 2.6973 0.3461 72.9470 0.0765 0.1703
0.4374 2.6973 0.3461 102.5676 0.1682 0.2184
0.4374 2.6973 0.3461 126.2450 -0.4281 0.3921
0.4374 2.6973 0.3461 0.0000 0.0000 0.0000
0.4374 2.6973 0.3461 0.0000 0.0000 0.0000
0.4374 2.6973 0.3461 231.0378 -0.6997 0.3773
0.4374 2.6973 0.3461 253.0904 -0.3897 0.2500
0.4374 2.6973 0.3461 291.0770 -0.0074 0.2448
0.4374 2.6973 0.3461 318.0913 -0.1338 0.1167
0.4374 2.6973 0.3461 344.5532 -0.1023 0.0967
0.4425 3.2034 0.3477 15.3995 -0.0009 0.1011
0.4425 3.2034 0.3477 44.9497 0.0171 0.1050
0.4425 3.2034 0.3477 72.3988 0.1619 0.1182
0.4425 3.2034 0.3477 100.9460 0.5388 0.2249
0.4425 3.2034 0.3477 127.6275 -0.0321 0.5283
0.4425 3.2034 0.3477 0.0000 0.0000 0.0000
0.4425 3.2034 0.3477 0.0000 0.0000 0.0000
0.4425 3.2034 0.3477 215.4350 -1.4294 0.8676
0.4425 3.2034 0.3477 260.5981 -0.8092 0.2167
0.4425 3.2034 0.3477 287.5163 -0.3409 0.1380
0.4425 3.2034 0.3477 317.0495 -0.1990 0.0898
0.4425 3.2034 0.3477 347.4955 0.2263 0.1225
0.4412 3.5995 0.3522 13.9965 0.1670 0.0935
0.4412 3.5995 0.3522 44.4166 0.0996 0.1106
0.4412 3.5995 0.3522 72.8218 0.3402 0.1419
0.4412 3.5995 0.3522 102.2406 0.4252 0.3260
0.4412 3.5995 0.3522 123.4133 0.5592 0.2449
0.4412 3.5995 0.3522 154.7830 1.3347 0.3180
0.4412 3.5995 0.3522 183.2910 -1.3904 0.7347
0.4412 3.5995 0.3522 227.3706 0.6054 0.5066
0.4412 3.5995 0.3522 257.0698 -0.4834 0.1913
0.4412 3.5995 0.3522 287.2194 -0.1345 0.1332
0.4412 3.5995 0.3522 316.6555 -0.1859 0.1004
