id = 213
editor = KK

### Experiment

collaboration = H1ZEUS
process = dis
exptype = collider
year = 2015
reference = arXiv:1506.06042
reference2 = Table10
#  Data is downloaded from
#  https://www.hepdata.net/record/ins416819
#  as CSV and processed with Python Pandas.
#  Some checking should still be done, this was done
#  fast because of referee requirement, only for
#  plotting, not for numerics.

### Scattering Process

in1particle = e+
in1energy = 27.5
in1energyunit = GeV

in2particle = p
in2energy = 920
in2energyunit = GeV

### Observable 

y1name = DISF2
y1namelong = "positron reduced DIS cross-section ~ F2 for low y"
y1unit = 1
y1value = column3
y1error = column4


### x-axes
x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2


### Data
#  Error is absolute, obtained
#  by adding all stat and syst errors in quadrature
#  (agrees with last column of table 10).
# Q2       xB        F2     err
######################################
400.0   0.2500000   0.261   0.0048
400.0   0.4000000   0.16   0.0061
500.0   0.0066000   1.052   0.0256
500.0   0.0080000   0.998   0.0216
500.0   0.0130000   0.875   0.0147
500.0   0.0200000   0.741   0.0125
500.0   0.0320000   0.619   0.0106
500.0   0.0500000   0.533   0.0098
500.0   0.0800000   0.443   0.0082
500.0   0.1300000   0.377   0.0081
500.0   0.1800000   0.313   0.0078
500.0   0.2500000   0.261   0.0090
500.0   0.4000000   0.172   0.0152
650.0   0.0085000   1.0   0.0267
650.0   0.0130000   0.862   0.0128
650.0   0.0200000   0.746   0.0108
650.0   0.0320000   0.627   0.0093
650.0   0.0500000   0.52   0.0078
650.0   0.0800000   0.438   0.0067
650.0   0.1300000   0.362   0.0060
650.0   0.1800000   0.334   0.0088
650.0   0.2500000   0.248   0.0050
650.0   0.4000000   0.145   0.0067
650.0   0.6500000   0.023   0.0038
800.0   0.0105000   0.932   0.0281
800.0   0.0130000   0.844   0.0155
800.0   0.0200000   0.733   0.0122
800.0   0.0320000   0.627   0.0100
800.0   0.0500000   0.525   0.0082
800.0   0.0800000   0.458   0.0076
800.0   0.1300000   0.358   0.0065
800.0   0.1800000   0.331   0.0093
800.0   0.2500000   0.252   0.0054
800.0   0.4000000   0.132   0.0066
800.0   0.6500000   0.021   0.0031
1000.0   0.0130000   0.823   0.0262
1000.0   0.0200000   0.736   0.0169
1000.0   0.0320000   0.625   0.0140
1000.0   0.0500000   0.532   0.0129
1000.0   0.0800000   0.447   0.0108
1000.0   0.1300000   0.362   0.0107
1000.0   0.1800000   0.313   0.0095
1000.0   0.2500000   0.255   0.0090
1000.0   0.4000000   0.134   0.0079
1000.0   0.6500000   0.02   0.0033
1200.0   0.0140000   0.832   0.0240
1200.0   0.0200000   0.755   0.0147
1200.0   0.0320000   0.632   0.0113
1200.0   0.0500000   0.519   0.0084
1200.0   0.0800000   0.441   0.0073
1200.0   0.1300000   0.361   0.0064
1200.0   0.1800000   0.328   0.0112
1200.0   0.2500000   0.252   0.0050
1200.0   0.4000000   0.131   0.0040
1200.0   0.6500000   0.022   0.0036
1500.0   0.0200000   0.709   0.0193
1500.0   0.0320000   0.603   0.0135
1500.0   0.0500000   0.544   0.0102
1500.0   0.0800000   0.453   0.0087
1500.0   0.1300000   0.355   0.0082
1500.0   0.1800000   0.313   0.0073
1500.0   0.2500000   0.248   0.0067
1500.0   0.4000000   0.126   0.0051
1500.0   0.6500000   0.016   0.0018
2000.0   0.0219000   0.71   0.0458
2000.0   0.0320000   0.589   0.0164
2000.0   0.0500000   0.516   0.0125
2000.0   0.0800000   0.449   0.0098
2000.0   0.1300000   0.362   0.0094
2000.0   0.1800000   0.3   0.0082
2000.0   0.2500000   0.244   0.0075
2000.0   0.4000000   0.129   0.0055
2000.0   0.6500000   0.017   0.0021
3000.0   0.0320000   0.603   0.0261
3000.0   0.0500000   0.518   0.0131
3000.0   0.0800000   0.433   0.0109
3000.0   0.1300000   0.352   0.0097
3000.0   0.1800000   0.298   0.0091
3000.0   0.2500000   0.231   0.0075
3000.0   0.4000000   0.124   0.0054
3000.0   0.6500000   0.016   0.0015
5000.0   0.0547000   0.477   0.0271
5000.0   0.0800000   0.415   0.0111
5000.0   0.1300000   0.343   0.0110
5000.0   0.1800000   0.283   0.0091
5000.0   0.2500000   0.225   0.0084
5000.0   0.4000000   0.121   0.0057
5000.0   0.6500000   0.011   0.0016
8000.0   0.0875000   0.356   0.0336
8000.0   0.1300000   0.309   0.0127
8000.0   0.1800000   0.267   0.0120
8000.0   0.2500000   0.217   0.0115
8000.0   0.4000000   0.103   0.0067
8000.0   0.6500000   0.016   0.0019
12000.0   0.1300000   0.212   0.0436
12000.0   0.1800000   0.229   0.0144
12000.0   0.2500000   0.155   0.0122
12000.0   0.4000000   0.095   0.0086
12000.0   0.6500000   0.017   0.0032
20000.0   0.2500000   0.126   0.0150
20000.0   0.4000000   0.078   0.0128
20000.0   0.6500000   0.012   0.0042
30000.0   0.4000000   0.06   0.0150
30000.0   0.6500000   0.009   0.0063
